,title,toprow,roominfo,facilities,price,rating,link,review,city
0,"1546 | Epic views, wood floors, No Cleaning Fees! - null - Keystone",Entire condominium in Keystone,4 guests · 1 bedroom · 1 bed · 1 bath,Wifi·Kitchen·Freeparking,Price:$112,Rating 4.72 out of 5;,http://airbnb.com/rooms/20933445?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,186 reviews,Breckinridge
1,Grand Lodge on Peak 7 Luxury Villa ski-in/out 1BR - null - Breckenridge,Entire villa in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$113,Price:,http://airbnb.com/rooms/15990883?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,-1,Breckinridge
2,Mountain Lodge/Walk to town 2BR/2BA. - null - Breckenridge,Entire condominium in Breckenridge,6 guests · 2 bedrooms · 4 beds · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$145,Rating 4.89 out of 5;,http://airbnb.com/rooms/9678588?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,18 reviews,Breckinridge
3,Breckenridge Ski Lodge Resort Home - null - Breckenridge,Resort room in Breckenridge,4 guests · 1 bedroom · 2 beds · 1 private bath,Hottub·Wifi·Kitchen·Freeparking,Price:$25,Price:,http://airbnb.com/rooms/45893630?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,-1,Breckinridge
4,"7767 | Ski-in/out Peak 9, Olympic Heated Pool! - null - Breckenridge",Entire condominium in Breckenridge,4 guests · Studio · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$113,Rating 4.85 out of 5;,http://airbnb.com/rooms/23859468?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,100 reviews,Breckinridge
5,Ski-In studio condo in Breckenridge - null - Breckenridge,Entire condominium in Breckenridge,2 guests · Studio · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$79,Rating 4.89 out of 5;,http://airbnb.com/rooms/6528758?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,122 reviews,Breckinridge
6,"2258 | Gorgeous views, wood floors, 4 season pool. - null - Keystone",Entire condominium in Keystone,4 guests · 1 bedroom · 2 beds · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$98,Rating 4.50 out of 5;,http://airbnb.com/rooms/20695965?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,115 reviews,Breckinridge
7,1BR Sleep 4/Lodge/Walk Everywhere - null - Breckenridge,Entire condominium in Breckenridge,4 guests · 1 bedroom · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$147,Rating 5.0 out of 5;,http://airbnb.com/rooms/15909507?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,8 reviews,Breckinridge
8,"7648 | Ski-in/out Peak 9, Olympic Heated Pool! - null - Breckenridge",Entire condominium in Breckenridge,4 guests · Studio · 1 bed · 1 bath,Hottub·Wifi·Kitchen·Freeparking,Price:$111,Rating 4.78 out of 5;,http://airbnb.com/rooms/27966604?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,79 reviews,Breckinridge
9,Valdoro Lodge 2BR/2BA/Heart of Breck - null - Breckenridge,Room in aparthotel in Breckenridge,6 guests · 2 bedrooms · 4 beds · 2 baths,Hottub·Wifi·Kitchen·Freeparking,Price:$159,Rating 5.0 out of 5;,http://airbnb.com/rooms/16240309?adults=1&previous_page_section_name=1000&federated_search_id=9b6ad5b3-1f64-4b26-b738-55dfe457b454,5 reviews,Breckinridge
